city,ds,yhat
Chennai,2002-10-01,34.17404420228506
Chennai,2002-11-16,32.69450360759367
Chennai,2002-12-01,31.86669276122434
Chennai,2003-01-16,32.03335719802823
Chennai,2003-03-01,31.196888587506745
Chennai,2003-03-16,30.90167021433656
Chennai,2003-04-26,31.198915059004957
Chennai,2003-05-16,31.550549190916268
Chennai,2003-08-31,37.22089517098819
Chennai,2003-12-12,34.668420810346326
Chennai,2003-12-31,35.03670660300275
Chennai,2004-07-31,39.99632155447981
Chennai,2004-11-15,40.685320159362476
Chennai,2005-06-20,42.578072297593486
Chennai,2006-06-05,45.8401381568428
Chennai,2006-11-30,47.9284871755515
Chennai,2007-02-16,47.199201573353854
Chennai,2007-06-06,49.45314661810161
Chennai,2008-05-24,53.50454001152077
Chennai,2008-07-16,55.223278367354816
Chennai,2009-01-29,56.08186476980272
Chennai,2009-07-02,59.60060506728502
Chennai,2010-04-01,59.305986537134125
Chennai,2010-09-08,65.82811344979699
Chennai,2010-09-21,67.02702948525176
Chennai,2010-11-09,65.48342641393086
Chennai,2011-01-16,65.4299952840666
Chennai,2011-05-15,64.7684757777132
Chennai,2011-09-16,70.88714084640536
Chennai,2011-11-16,68.94033163826226
Chennai,2011-12-01,68.42314964016225
Chennai,2012-05-24,69.57778330500253
Chennai,2012-05-29,70.11357614284992
Chennai,2012-06-03,70.69322325127324
Chennai,2012-06-29,71.48368695116646
Chennai,2012-07-24,71.7059852840872
Chennai,2012-07-25,71.18193411796513
Chennai,2012-10-09,73.64941851818
Chennai,2012-10-27,72.71197755467459
Chennai,2012-11-16,71.51790422576826
Chennai,2013-01-16,70.098771913745
Chennai,2013-01-18,70.48619983763282
Chennai,2013-02-16,69.19314232554136
Chennai,2013-03-02,69.16504214893864
Chennai,2013-03-16,68.58327147088583
Chennai,2013-04-02,68.35848406384154
Chennai,2013-04-16,68.80262972667877
Chennai,2013-05-01,67.50080252240915
Chennai,2013-06-01,70.50369602900192
Chennai,2013-06-16,71.20674584853919
Chennai,2013-06-29,71.80982019317142
Chennai,2013-07-15,71.63440649343966
Chennai,2013-08-01,71.79437868938945
Chennai,2013-09-01,73.25952564584497
Chennai,2013-09-14,73.99832275774934
Chennai,2013-10-01,73.86222201594163
Chennai,2013-11-01,72.0733689009489
Chennai,2013-12-21,69.72379337327503
Chennai,2014-01-04,70.68952546871121
Chennai,2014-03-01,69.19122483796345
Chennai,2014-04-01,68.30560499198518
Chennai,2014-04-16,68.2709507895407
Chennai,2014-06-07,70.72809786292271
Chennai,2014-06-25,70.84212810958039
Chennai,2014-07-01,71.60899649979878
Chennai,2014-08-01,71.6231202696179
Chennai,2014-08-15,71.79537827465248
